rank,model,backtest_MAE,backtest_RMSE,backtest_MAPE,backtest_R2,backtest_MASE,backtest_Bias,loo_mean_MASE,loo_std_MASE,overfit_verdict
1,Bass_Only,386.6713,527.2009,2.1426,0.44,0.2587,386.6713,0.5974,0.3155,LOW OVERFITTING RISK
2,Analog_Bass_Static,386.6674,527.1976,2.1425,0.44,0.2587,386.6674,0.6436,0.3341,LOW OVERFITTING RISK
3,Analog_Bass_Adaptive,386.6674,527.1976,2.1425,0.44,0.2587,386.6674,0.6436,0.3341,LOW OVERFITTING RISK
4,Analog_Only,630.2344,730.5665,3.5422,-0.0754,0.4217,369.5024,0.5913,0.4282,POSSIBLE OVERFITTING
5,ARIMA,1398.4783,1562.745,7.8885,-3.9206,0.9357,1398.4783,0.993,0.0088,GOOD GENERALIZATION
6,Naive,1494.5,1652.2259,8.4397,-4.5002,1.0,1494.5,1.0,0.0,POSSIBLE UNDERFITTING
