rank,model,backtest_MAE,backtest_RMSE,backtest_MAPE,backtest_R2,backtest_MASE,backtest_Bias,loo_mean_MASE,loo_std_MASE,overfit_verdict
1,Analog_Only,5281.0224,5931.1712,3.1049,-7.5704,0.3562,-5281.0224,0.6888,0.513,POSSIBLE OVERFITTING
2,Bass_Only,13724.0459,13799.7074,8.1083,-45.3939,0.9258,13724.0459,0.6505,0.2934,GOOD GENERALIZATION
3,Analog_Bass_Static,13724.3865,13800.05,8.1085,-45.3962,0.9258,13724.3865,0.8206,0.6591,POSSIBLE OVERFITTING
4,Analog_Bass_Adaptive,13724.3865,13800.05,8.1085,-45.3962,0.9258,13724.3865,0.8206,0.6591,POSSIBLE OVERFITTING
5,ARIMA,14706.3031,14846.154,8.6852,-52.6969,0.9921,14706.3031,0.9881,0.0144,POSSIBLE UNDERFITTING
6,Naive,14824.0,14961.8064,8.7549,-53.5367,1.0,14824.0,1.0,0.0,POSSIBLE UNDERFITTING
