model,verdict,top5_loo_error_share,reasoning
Naive,POSSIBLE UNDERFITTING,0.3112,backtest MASE=1.0 and LOO out-of-sample MASE=1.0 are both ~1.0 (i.e. barely better than last-value-carryforward) -- the model isn't extracting usable signal beyond the naive baseline.
ARIMA,POSSIBLE UNDERFITTING,0.311,backtest MASE=0.9921 and LOO out-of-sample MASE=0.9881 are both ~1.0 (i.e. barely better than last-value-carryforward) -- the model isn't extracting usable signal beyond the naive baseline.
Analog_Only,POSSIBLE OVERFITTING,0.3727,LOO MASE is unstable across the 35 analogs (std/mean = 0.7448) -- performance depends heavily on which analog is held out.
Bass_Only,GOOD GENERALIZATION,0.3657,"train-window walk-forward MASE (0.9648) and held-out backtest MASE (0.9258) are close (gap=-0.039), and LOO error is not concentrated in a handful of analogs -- the model performs consistently on data it wasn't fit to."
Analog_Bass_Static,POSSIBLE OVERFITTING,0.5132,"LOO MASE is unstable across the 35 analogs (std/mean = 0.8032) -- performance depends heavily on which analog is held out. | a small subset of analogs (top 5 of 35: ['ANL_007', 'ANL_017', 'ANL_016', 'ANL_022', 'ANL_019']) account for 51.3% of this model's total LOO error -- the average score is being driven by a few bad folds, not a broadly generalizable fit."
Analog_Bass_Adaptive,POSSIBLE OVERFITTING,0.5132,"LOO MASE is unstable across the 35 analogs (std/mean = 0.8032) -- performance depends heavily on which analog is held out. | a small subset of analogs (top 5 of 35: ['ANL_007', 'ANL_017', 'ANL_016', 'ANL_022', 'ANL_019']) account for 51.3% of this model's total LOO error -- the average score is being driven by a few bad folds, not a broadly generalizable fit. | EXTRA SCRUTINY (per spec): this model recalibrates every time a new week of early Rx arrives, so it has the most flexibility to fit noise on only 4-6 months of new-drug data. | the adaptive walk-forward log shows one-step-ahead error shrinking as more weeks are fed in -- consistent with genuine adaptation rather than noise-chasing."
