model_name,training_MAE,training_RMSE,backtest_MAE,backtest_over_training_ratio
naive,64147.5,74696.2711686467,51628.0,0.8048326123387506
arima,64147.5,74696.2711686467,51628.0,0.8048326123387506
analog_only,33081.507187126765,48987.99382000969,16703.78838103384,0.5049282756843043
bass_only,16358.11508110379,17017.78087341053,138111.85038535844,8.443017407604588
analog_bass_static,33741.68768148307,49551.977317757024,603.8742969934829,0.017896979626329718
analog_bass_adaptive,34244.31119608951,51950.33900701987,6380.943361848389,0.1863358654028659
