model_name,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,MASE_mean,MASE_std,Bias_mean,Bias_std
analog_bass_adaptive,19410.71062671399,21342.60963646004,22372.84775051666,24166.321433752713,17.39283070614137,15.600373642358864,0.5202359742580156,0.27717174132458244,-16560.229432421416,23616.27447850331
analog_bass_static,18461.26972109431,20045.86310483628,21433.884684132612,22880.492229476095,16.518409363146986,14.745609125098829,0.4971944798684174,0.26253371557566096,-15810.518469303757,22179.86250210671
analog_only,16073.741304070938,15647.500928334583,18464.309518527793,17465.91279111114,14.73929565888597,12.5030341030457,0.5057671699192048,0.3506934864874888,-5554.090143373667,21683.64571002692
arima,30863.602068420292,24822.32241380533,35932.01599638288,29283.473288620826,26.283781888143245,11.64653315034328,0.9391146770092313,0.0915275437418304,-30812.088081533195,24844.698949101356
bass_only,25142.058216626327,18717.331157427496,30667.91644875434,23353.669905130813,21.278620297577202,8.71235391794391,0.8196696034043423,0.2209377961191131,-25027.930402643946,18783.12663458175
naive,33060.35102040816,27442.84122691114,37964.01048867508,31755.902042436737,28.961744902695877,13.823039959657525,1.0,0.0,-33029.25714285715,27457.08599389
