cutoff_month,model,N,MASE,MAE,RMSE,MAPE,sMAPE
6,Naive,72,4.655641637987824,25182.11111111111,28963.088923999916,23.004919014781787,27.77782762791904
6,Analog-only,72,7.983486099683418,41614.80925937801,42853.95393844099,38.63305830934028,41.89414517412438
6,Bass-only,72,50.20166778822787,249160.93802682764,263479.806463502,244.30114898303657,100.62265882227314
6,Analog + Bass (Adaptive),72,50.51923642809934,250276.20434055137,264589.4121105976,244.99900265867532,100.53520896208082
6,Analog + Bass (Static),72,50.51923642809934,250276.20434055137,264589.4121105976,244.99900265867532,100.53520896208082
9,Naive,72,4.880412826735221,31498.909722222223,35643.070452113214,21.955575111176593,26.000086590592506
9,Analog-only,72,9.34842004866998,63454.42175938417,64645.61855749486,42.725900004079364,53.972032295205885
9,Bass-only,72,51.22257101978367,284688.4562042009,304871.5862388017,231.86620816859465,97.32314264616322
9,Analog + Bass (Adaptive),72,51.954741656235115,287520.20600762405,307617.05021314486,233.99386397845748,97.23822694031888
9,Analog + Bass (Static),72,51.954741656235115,287520.20600762405,307617.05021314486,233.99386397845748,97.23822694031888
12,Naive,72,4.5714250732930015,34230.446759259255,38531.345156302006,19.462862185166205,22.44309402664992
12,Analog-only,72,11.062714867635275,90213.12268539524,91088.05693097651,48.82200463457311,66.95838824393138
12,Bass-only,72,41.59502728893164,265207.65714759036,289615.24134192977,182.0918595549457,85.48909534144533
12,Analog + Bass (Adaptive),72,42.82386081376811,270316.6209144805,294384.4057381952,186.03544542626955,85.70700500399094
12,Analog + Bass (Static),72,42.82386081376811,270316.6209144805,294384.4057381952,186.03544542626955,85.70700500399094
18,Naive,72,3.838935703904665,34140.46759259259,38087.45689401102,14.463035837223503,16.02771250163717
18,Analog-only,72,14.940875453475277,145377.6074076538,145913.8142522211,58.79503689828638,87.74444594773716
18,Bass-only,72,19.602060029812392,149237.52818551933,174750.94583558978,77.44647414527412,49.87911195225747
18,Analog + Bass (Adaptive),72,21.45121720836705,159525.3141998334,183574.52780316919,83.77915039197245,52.36998153738201
18,Analog + Bass (Static),72,21.45121720836705,159525.3141998334,183574.52780316919,83.77915039197245,52.36998153738201
