seed,model,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
93400,Naive,144,4.683346913109231,33877.978009259255,38231.85370554268,20.295923495635506,23.788243446265085,-4.463420734592372,-33735.211805555555
93400,Analog-only,144,11.267671537232587,89905.1048611247,90924.71691749209,48.5943711398766,64.01803857141608,-47.04684679528839,-84428.09050932128
93400,Bass-only,144,41.62661577167656,248410.38129935382,270853.7654496552,182.6896607793768,82.77000034507684,-784.8251185232032,243932.60340473303
93400,Analog + Bass (Adaptive),144,42.74225057235895,254208.44109764896,276208.01389192324,186.2186242213828,83.4753860989044,-839.825157561757,248093.7594798717
93400,Analog + Bass (Static),144,42.74225057235895,254208.44109764896,276208.01389192324,186.2186242213828,83.4753860989044,-839.825157561757,248093.7594798717
94721,Naive,144,4.289860707851124,28647.989583333332,32380.627007670402,19.14727257853854,22.336116927134235,-3.926196503587354,-28421.496527777777
94721,Analog-only,144,10.40007669749939,80424.87569478092,81326.00492207464,45.89362878326297,61.26646725908332,-49.26773001282022,-75927.18680599256
94721,Bass-only,144,39.68404729170123,225736.9084827153,245505.02449025644,185.16318464654873,83.88700403599276,-751.4369535914154,222354.11021504103
94721,Analog + Bass (Adaptive),144,40.632277480875864,229610.73163359563,248874.68404063012,188.18510700630458,84.44982512298193,-796.7071396748238,224688.8268857837
94721,Analog + Bass (Static),144,40.632277480875864,229610.73163359563,248874.68404063012,188.18510700630458,84.44982512298193,-796.7071396748238,224688.8268857837
