Rank,model,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
1,Naive,288,4.486603810480178,31262.9837962963,35306.24035660654,19.72159803708702,23.06218018669966,-4.194808619089863,-31078.354166666668
2,Analog-only,288,10.833874117365987,85164.9902779528,86125.36091978337,47.243999961569784,62.642252915249706,-48.1572884040543,-80177.63865765692
3,Bass-only,288,40.655331531688894,237073.6448910346,258179.3949699558,183.92642271296276,83.32850219053479,-768.1310360573093,233143.35680988705
4,Analog + Bass (Static),288,41.687264026617406,241909.58636562232,262541.3489662767,187.2018656138437,83.96260561094317,-818.2661486182903,236391.29318282768
5,Analog + Bass (Adaptive),288,41.687264026617406,241909.58636562232,262541.3489662767,187.2018656138437,83.96260561094317,-818.2661486182903,236391.29318282768
