seed,model,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
93400,Analog + Bass (Adaptive),144,5.356005933186221,37805.6741606116,40281.66551400532,23.345145682448475,23.901303272747466,-10.795744043044493,1308.1679752885207
93400,Analog + Bass (Static),144,4.8490972258065375,33895.81241666948,36375.51307654932,21.134006750756402,21.646013897120444,-8.53919935877495,1166.4261559886563
93400,Analog-only,144,7.181776715928101,39923.04068761408,41485.058156845276,32.35108886998865,27.174549601576,-22.677146082709317,-2508.1475186613347
93400,Bass-only,144,1.9970290958961472,14334.231404611857,17128.04314252491,8.465895538190258,9.092898964580804,-1.7526291641169836,-6525.163730586679
94721,Analog + Bass (Adaptive),144,6.396548452928955,43422.31718623779,45623.597858186426,27.625049686959056,27.02102733036276,-21.313151637787033,3168.210843395815
94721,Analog + Bass (Static),144,5.635288050574675,38102.78036558721,40351.477116675465,24.39913672031786,23.972629723889597,-15.501435899833597,2742.293531324984
94721,Analog-only,144,14.17210016551283,42004.51430597554,43540.689724009455,61.813499727662574,36.800884935792816,-366.8104453125886,-3110.5301322054456
94721,Bass-only,144,2.0771725484756622,13266.187079136822,15530.819911418334,9.332266084285118,10.045496497369973,-2.1953034252750543,-4761.609140805729
