cutoff_month,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
6,72,8.779862443902122,31408.208791392208,32781.446223420586,45.27200780290264,34.67207201165717,-61.31509359838257,-10258.099719668538
9,72,9.828627843369583,36298.72416776258,37828.71141175842,44.17993737409725,32.45644984819001,-117.02942678025276,-11953.6577563026
12,72,10.936511605667286,42774.18504787356,44279.40804501958,45.992317489449604,31.326618265196398,-244.37642570192352,-8786.056993776741
18,72,12.158856532365512,57041.43476528366,58389.98849120911,47.74570356936062,30.73998167558094,-348.76958898944,-3326.6786567080508
