Rank,model,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias,Median_MASE,Q25_MASE,Q75_MASE,Q90_MASE
1,Bass-only,288,2.037100822185905,13800.20924187434,16329.431526971623,8.899080811237688,9.569197730975388,-1.973966294696019,-5643.386435696204,1.442175270203204,0.941362579239614,2.4521509077494685,4.179253260242844
2,Analog + Bass (Static),288,5.242192638190605,35999.29639112835,38363.495096612394,22.76657173553713,22.80932181050502,-12.020317629304273,1954.35984365682,4.544638379923466,2.2098026404924918,7.262142540670863,9.331611966661084
3,Analog + Bass (Adaptive),288,5.876277193057588,40613.995673424695,42952.631686095876,25.485097684703767,25.461165301555113,-16.05444784041576,2238.1894093421674,4.821233325362077,2.390530071610849,8.038807434330867,10.775147308260445
4,Analog-only,288,10.676938440720466,40963.777496794806,42512.873940427366,47.082294298825616,31.98771726868441,-194.74379569764898,-2809.3388254333904,5.729245045357173,2.4736950154540187,9.261416896080384,17.990238266876847
