cutoff_month,model,N,MASE,MAE,RMSE,MAPE,sMAPE,R2,Bias
6,Analog + Bass (Adaptive),72,4.592515688421725,23163.601647871088,25640.644223920124,22.714873475784245,23.720865164272393,-10.676867920498498,-2848.363613711555
6,Analog + Bass (Static),72,4.397659301193001,22148.811374215828,24651.370196893822,21.63193571411897,22.561169965074615,-9.49948724735723,-2741.095145158638
6,Analog-only,72,9.509985379929443,30722.764669946737,32141.934570009646,48.96999081714056,34.405712557843884,-95.6715996046715,-2297.380432597486
6,Bass-only,72,2.5509577778338546,13245.20461300475,15837.996625663647,12.166044162551929,13.88052971005812,-2.037142391773748,-7295.495728991602
9,Analog + Bass (Adaptive),72,5.920799235553532,35627.688595757776,38071.74125086502,26.498146428523235,26.552080974295105,-13.381983217410452,548.0666496369761
9,Analog + Bass (Static),72,5.373555942266571,32495.513772607857,34980.1692712314,24.04846038713127,24.2359694839767,-10.101966432068675,250.93326295195433
9,Analog-only,72,10.445913518024033,35299.75853476193,36872.7368036439,46.7481937199465,32.06773082901203,-149.33888524317288,-2659.481502745066
9,Bass-only,72,2.306820855935634,14764.513525553273,17357.894097934633,10.082028377577378,10.607394148390215,-0.9670036939870634,-5359.266667822703
12,Analog + Bass (Adaptive),72,6.509703572665085,46578.52732993478,48830.516636409346,27.632339718745246,26.91725406314893,-18.546990964445072,6103.14545614479
12,Analog + Bass (Static),72,5.710092848947239,40869.25201750688,43173.73925579734,24.180264130586124,23.575805250657417,-13.278194172218067,5661.771087486325
12,Analog-only,72,11.054052864725813,41924.6772136773,43528.37949331323,46.531636888653814,31.154425190323106,-236.97029005190248,-3004.0332449505604
12,Bass-only,72,1.5464694731424644,10718.616254586268,12794.435720358082,6.490029382778885,6.65577035763533,-0.09473733402194016,-2496.023189962996
18,Analog + Bass (Adaptive),72,6.482090275590012,57086.165120135134,59267.62463318899,25.095031115762335,24.654461004504025,-21.611949259309032,5149.90914529846
18,Analog + Bass (Static),72,5.487462460355612,48483.60840018284,50648.701662527004,21.20562671031216,20.864342542311345,-15.201622665573119,4645.830169347639
18,Analog-only,72,11.697802000202577,55907.909568793264,57508.444894742686,46.07935576956159,30.323000497558603,-296.994407890849,-3276.460121440449
18,Bass-only,72,1.7441551818316663,16472.502574353064,19327.399663930122,6.858221322042562,7.133096707817886,-4.796981759001324,-7422.760156007513
