test_month,train_months,model,actual_rx,predicted_rx,error,absolute_error
5,4,Naive,456364.0,519031.0,62667.0,62667.0
5,4,ARIMA,456364.0,494719.24618284084,38355.24618284084,38355.24618284084
5,4,Analog-Only,456364.0,493976.013255638,37612.01325563801,37612.01325563801
5,4,Bass-Only,456364.0,494922.70939147816,38558.70939147816,38558.70939147816
5,4,Analog+Bass (Static),456364.0,482329.80518813414,25965.805188134138,25965.805188134138
5,4,Analog+Bass (Adaptive),456364.0,491321.0029543992,34957.00295439921,34957.00295439921
